#multi:
	nose 			eye			front right paw 			front right knee			front right thigh			back right paw 			back right knee			back right thigh			tail			
t	x	y	frame	x	y	frame	x	y	frame	x	y	frame	x	y	frame	x	y	frame	x	y	frame	x	y	frame	x	y	frame	
1.108	575.9	-564.1	133	532.0	-528.7	133	73.57	-729.6	133	145.7	-558.4	133	240.5	-501.8	133												
1.117																											
1.125																											
1.133																											
1.142																											
1.150																											
1.158																											
1.167																											
1.175																											
1.183																											
1.192																											
1.200																											
1.208																											
1.217																											
1.225																											
1.233																											
1.242																											
1.250																											
1.258																											
1.267																											
1.275																											
1.283																											
1.292																											
1.300																											
1.308																											
1.317																											
1.325																											
1.333																											
1.342																											
1.350																											
1.358																											
1.367																											
1.375																											
1.383																											
1.392																											
1.400																											
1.408																											
1.417																											
1.425																											
1.433																											
1.442																											
1.450																											
1.458																											
1.467																											
1.475																											
1.483																											
1.492																											
1.500																											
1.508																											
1.517																											
1.525																											
1.533																											
1.542																											
1.550																											
1.558																											
1.567																											
1.575																											
1.583																											
1.592																											
1.600																											
1.608																											
1.617																											
1.625	856.0	-576.8	195	803.7	-532.9	195										440.0	-742.3	195	379.2	-583.9	195	315.5	-511.7	195	250.4	-499.0	195
1.633																											
1.642																											
1.650																											
1.658																											
1.667																											
1.675																											
1.683																											
1.692																											
1.700																											
1.708																											
1.717																											
1.725																											
1.733																											
1.742																											
1.750																											
1.758																											
1.767																											
1.775																											
1.783																											
1.792																											
1.800	980.5	-537.2	216	919.7	-504.6	216	847.5	-765.0	216	687.6	-605.1	216	694.7	-524.4	216												
1.808																											
1.817																											
1.825																											
1.833																											
1.842																											
1.850																											
1.858																											
1.867																											
1.875																											
1.883																											
1.892																											
1.900																											
1.908																											
1.917																											
1.925																											
1.933																											
1.942																											
1.950																											
1.958																											
1.967																											
1.975																											
1.983																											
1.992																											
2.000																											
2.008																											
2.017																											
2.025																											
2.033																											
2.042																											
2.050																											
2.058																											
2.067																											
2.075																											
2.083																											
2.092																											
2.100																											
2.108																											
2.117																											
2.125																											
2.133																											
2.142																											
2.150																											
2.158																											
2.167																											
2.175																											
2.183																											
2.192																											
2.200																											
2.208																											
2.217																											
2.225																											
2.233																478.2	-738.1	268									
2.242																			632.5	-615.0	269						
2.250																						632.5	-524.4	270			
2.258	1.249E3	-579.6	271																								
2.267																											
2.275																											
2.283																											
2.292																											
2.300																											
2.308																											
2.317																											
2.325																											
2.333																											
2.342																											
2.350																											
2.358																											
2.367																											
2.375																											
2.383																											
2.392																											
2.400																											
2.408																											
2.417																											
2.425																											
2.433																											
2.442																											
2.450																											
2.458																											
2.467																											
2.475	1.385E3	-544.2	297	1.331E3	-499.0	297	827.7	-776.3	297	915.4	-599.4	297	1.003E3	-518.8	297												
2.483																											
2.492																											
2.500																											
2.508																											
2.517																											
2.525																											
2.533																											
2.542																											
2.550																											
2.558																											
2.567																											
2.575																											
2.583																											
2.592																											
2.600																											
2.608																											
2.617																											
2.625																											
2.633																											
2.642																											
2.650																											
2.658																											
2.667																											
2.675																											
2.683																											
2.692																											
2.700																											
2.708																											
2.717																											
2.725																											
2.733																											
2.742																											
2.750																											
2.758																											
2.767																											
2.775																											
2.783																											
2.792																											
2.800																											
2.808																											
2.817																											
2.825																											
2.833																											
2.842																											
2.850																											
2.858																											
2.867																											
2.875																											
2.883																											
2.892																											
2.900																											
2.908																											
2.917																											
2.925																											
2.933																											
2.942																											
2.950																											
2.958																											
2.967																											
2.975																											
2.983																											
2.992																											
3.000																											
3.008																											
3.017																											
3.025																											
3.033																											
3.042																											
3.050																											
3.058																											
3.067																											
3.075																											
3.083																											
3.092																											
3.100																											
3.108																											
3.117																											
3.125																											
3.133																											
3.142																											
3.150																											
3.158																											
3.167																											
3.175																											
3.183	1.795E3	-535.8	382	1.730E3	-490.5	382	1.665E3	-834.3	382	1.498E3	-643.3	382	1.491E3	-547.1	382												
3.192																											
3.200																											
3.208																											
3.217																											
3.225																											
3.233																											
3.242																											
3.250																											
3.258																											
3.267																											
3.275																											
3.283																											
3.292																											
3.300																											
3.308																											
3.317																											
3.325																											
3.333																											
3.342																											
3.350																											
3.358																											
3.367																											
3.375																											
3.383																											
3.392																											
3.400																											
3.408																											
3.417																											
3.425																											
3.433																											
3.442																											
3.450																											
3.458																											
3.467																											
3.475																											
3.483																											
3.492																											
3.500																											
3.508																											
3.517																											
3.525																											
3.533																											
3.542																											
3.550																											
3.558																											
3.567																											
3.575																											
3.583																											
3.592																											
3.600																											
3.608																											
3.617																											
3.625																											
3.633																											
3.642																											
3.650																											
3.658																											
3.667																											
3.675																											
3.683																											
3.692																											
3.700																											
3.708																											
3.717																											
3.725																											
3.733																											
3.742																											
3.750																											
3.758																											
3.767																											
3.775																											
3.783																											
3.792																											
3.800																											
3.808																											
3.817																											
3.825																											
3.833																											
3.842																											
3.850																											
3.858																											
3.867																											
3.875																											
3.883																											
3.892																											
3.900																											
3.908																											
3.917																											
3.925																											
3.933																											
3.942							1.664E3	-832.9	473	1.766E3	-656.0	473	1.875E3	-571.1	473												
