#multi:
	nose 			front left paw 			back left paw			tail			
t	x	y	frame	x	y	frame	x	y	frame	x	y	frame	
1.092	1.302E3	-496.3	131	1.148E3	-831.4	131				506.9	-563.3	131
1.100												
1.108												
1.117												
1.125												
1.133												
1.142												
1.150												
1.158												
1.167												
1.175												
1.183	1.413E3	-537.1	142				474.9	-822.6	142	617.7	-542.9	142
1.192												
1.200												
1.208												
1.217												
1.225												
1.233												
1.242												
1.250												
1.258												
1.267												
1.275												
1.283												
1.292												
1.300												
1.308												
1.317												
1.325												
1.333												
1.342												
1.350												
1.358												
1.367												
1.375												
1.383												
1.392												
1.400												
1.408												
1.417												
1.425												
1.433												
1.442												
1.450												
1.458												
1.467	1.760E3	-633.2	176	1.133E3	-837.2	176						
1.475												
1.483												
1.492												
1.500												
1.508												
1.517												
1.525												
1.533												
1.542												
1.550												
1.558												
1.567												
1.575												
1.583												
1.592												
1.600												
1.608												
1.617												
1.625												
1.633												
1.642												
1.650												
1.658												
1.667												
1.675												
1.683												
1.692												
1.700												
1.708												
1.717												
1.725												
1.733												
1.742												
1.750												
1.758												
1.767												
1.775												
1.783												
1.792												
1.800												
1.808												
1.817												
1.825												
1.833												
1.842												
1.850												
1.858												
1.867												
1.875												
1.883												
1.892												
1.900												
1.908												
1.917												
1.925												
1.933												
1.942												
1.950												
1.958												
1.967												
1.975												
1.983							1.664E3	-837.2	238			
