#multi:
	nose 			front right paw 			back right paw 			tail			
t	x	y	frame	x	y	frame	x	y	frame	x	y	frame	
0.067	1.393E3	-604.1	8	1.393E3	-802.2	8						
0.075												
0.083												
0.092												
0.100												
0.108												
0.117												
0.125												
0.133												
0.142												
0.150												
0.158												
0.167												
0.175												
0.183												
0.192												
0.200												
0.208												
0.217												
0.225												
0.233												
0.242												
0.250												
0.258												
0.267												
0.275												
0.283												
0.292												
0.300												
0.308												
0.317												
0.325												
0.333												
0.342												
0.350												
0.358												
0.367												
0.375												
0.383												
0.392												
0.400												
0.408												
0.417												
0.425												
0.433												
0.442												
0.450												
0.458												
0.467												
0.475												
0.483												
0.492												
0.500												
0.508												
0.517	1.154E3	-569.1	62				1.649E3	-778.9	62			
0.525												
0.533												
0.542												
0.550												
0.558												
0.567												
0.575												
0.583												
0.592												
0.600												
0.608												
0.617												
0.625												
0.633												
0.642												
0.650												
0.658												
0.667												
0.675				1.384E3	-778.9	81						
0.683												
0.692												
0.700												
0.708												
0.717												
0.725												
0.733												
0.742												
0.750												
0.758												
0.767												
0.775												
0.783												
0.792												
0.800												
0.808												
0.817												
0.825												
0.833												
0.842												
0.850												
0.858												
0.867												
0.875												
0.883												
0.892												
0.900												
0.908												
0.917												
0.925												
0.933												
0.942												
0.950												
0.958												
0.967												
0.975												
0.983												
0.992												
1.000												
1.008												
1.017												
1.025												
1.033												
1.042												
1.050												
1.058												
1.067												
1.075												
1.083												
1.092												
1.100												
1.108												
1.117												
1.125												
1.133												
1.142												
1.150												
1.158												
1.167												
1.175												
1.183												
1.192												
1.200												
1.208												
1.217												
1.225												
1.233												
1.242												
1.250												
1.258												
1.267												
1.275												
1.283												
1.292												
1.300												
1.308												
1.317												
1.325												
1.333												
1.342												
1.350												
1.358												
1.367												
1.375												
1.383												
1.392												
1.400												
1.408				629.3	-854.7	169						
1.417												
1.425												
1.433												
1.442												
1.450												
1.458												
1.467												
1.475												
1.483												
1.492												
1.500												
1.508												
1.517												
1.525												
1.533												
1.542												
1.550												
1.558												
1.567												
1.575												
1.583												
1.592												
1.600												
1.608												
1.617												
1.625												
1.633												
1.642												
1.650												
1.658												
1.667												
1.675												
1.683												
1.692												
1.700												
1.708												
1.717												
1.725												
1.733												
1.742												
1.750												
1.758												
1.767												
1.775												
1.783												
1.792												
1.800												
1.808												
1.817												
1.825												
1.833												
1.842												
1.850												
1.858												
1.867												
1.875												
1.883												
1.892												
1.900												
1.908												
1.917												
1.925												
1.933												
1.942												
1.950												
1.958				661.4	-843.0	235						
1.967												
1.975												
1.983												
1.992												
2.000												
2.008												
2.017												
2.025												
2.033												
2.042												
2.050												
2.058												
2.067												
2.075												
2.083												
2.092												
2.100												
2.108												
2.117												
2.125												
2.133												
2.142												
2.150												
2.158												
2.167												
2.175												
2.183												
2.192												
2.200												
2.208												
2.217												
2.225												
2.233												
2.242												
2.250												
2.258												
2.267												
2.275												
2.283												
2.292												
2.300												
2.308												
2.317												
2.325												
2.333												
2.342												
2.350												
2.358												
2.367												
2.375												
2.383												
2.392												
2.400												
2.408												
2.417												
2.425												
2.433												
2.442												
2.450												
2.458												
2.467												
2.475												
2.483							247.6	-845.9	298			
2.492												
2.500												
2.508												
2.517												
2.525												
2.533												
2.542												
2.550												
2.558												
2.567												
2.575												
2.583												
2.592												
2.600												
2.608												
2.617												
2.625												
2.633												
2.642												
2.650												
2.658												
2.667												
2.675												
2.683												
2.692												
2.700												
2.708												
2.717												
2.725												
2.733												
2.742												
2.750												
2.758												
2.767												
2.775												
2.783												
2.792												
2.800												
2.808												
2.817												
2.825												
2.833												
2.842												
2.850												
2.858												
2.867												
2.875												
2.883												
2.892												
2.900												
2.908												
2.917												
2.925												
2.933							244.7	-851.7	352			
