#multi:
	nose 			eye			right front paw 			back right paw 			tail			
t	x	y	frame	x	y	frame	x	y	frame	x	y	frame	x	y	frame	
0.108	1.634E3	-609.9	13	1.617E3	-545.8	13	1.687E3	-843.0	13						
0.117															
0.125															
0.133															
0.142															
0.150															
0.158															
0.167															
0.175															
0.183															
0.192															
0.200															
0.208															
0.217															
0.225															
0.233															
0.242															
0.250															
0.258															
0.267															
0.275															
0.283															
0.292															
0.300															
0.308															
0.317															
0.325															
0.333															
0.342															
0.350															
0.358															
0.367															
0.375															
0.383															
0.392															
0.400															
0.408															
0.417															
0.425															
0.433															
0.442															
0.450															
0.458															
0.467															
0.475															
0.483															
0.492															
0.500															
0.508															
0.517															
0.525															
0.533															
0.542															
0.550															
0.558															
0.567															
0.575															
0.583															
0.592															
0.600															
0.608															
0.617															
0.625															
0.633															
0.642															
0.650															
0.658															
0.667	1.136E3	-557.5	80	1.195E3	-508.0	80	1.646E3	-819.7	80						
0.675															
0.683															
0.692															
0.700															
0.708															
0.717															
0.725															
0.733															
0.742															
0.750															
0.758															
0.767															
0.775															
0.783															
0.792															
0.800															
0.808															
0.817															
0.825															
0.833															
0.842															
0.850															
0.858															
0.867															
0.875															
0.883															
0.892															
0.900															
0.908															
0.917															
0.925															
0.933															
0.942															
0.950															
0.958															
0.967															
0.975															
0.983															
0.992															
1.000															
1.008															
1.017															
1.025															
1.033															
1.042															
1.050															
1.058															
1.067															
1.075															
1.083															
1.092															
1.100															
1.108															
1.117															
1.125															
1.133															
1.142															
1.150															
1.158															
1.167															
1.175															
1.183															
1.192															
1.200															
1.208															
1.217															
1.225															
1.233															
1.242															
1.250															
1.258															
1.267															
1.275															
1.283															
1.292															
1.300															
1.308															
1.317															
1.325															
1.333															
1.342															
1.350															
1.358	690.5	-502.1	163	754.6	-455.5	163	807.0	-819.7	163						
